Headlines,Time,Description
CEO of RH was inspired by Warren Buffett during the home design giant's turnaround,2018-06-14,RH CEO Gary Friedman tells CNBC's Jim Cramer that he took a page from billionaire Warren Buffett's book during his company's turnaround.
Cramer's lightning round: Skechers is in the 'penalty box' until its next earnings report,2018-06-14,"Jim Cramer zooms through his take on callers' favorite stocks, including a sneaker play that's losing steam."
Cramer's lightning round: Tandem Diabetes is one of the hottest stocks I've ever seen,2018-06-15,"Jim Cramer shares his take on callers' favorite stocks at lightning speed, including a medical technology company with a white-hot stock."
"Cramer Remix: After this stock’s monster move, wait to pounce",2018-06-15,Jim Cramer’s revealing why you should take your time before adding Five Below to your portfolio.
Cramer Remix: The Qualcomm-NXP deal could signal what’s next for trade,2018-06-15,Jim Cramer reveals how the moves in NXP Semiconductors and Qualcomm could hint at what’s to come in the U.S.-China trade battle.
Cramer: Bitcoin and PayPal are putting pressure on bank stocks,2018-06-15,Jim Cramer investigates why some big bank stocks are faltering even after the Federal Reserve's interest rate hike.
"Cramer Remix: If the economy slows down, this is what you’ll want to own",2018-06-15,Jim Cramer reveals why FANG doesn’t need a strong economy to deliver powerful numbers.
"'This is not a pretend trade war,' analyst says",2018-06-15,"The looming trade war has become an actual trade war, according to John Rutledge, chief investment officer of Safanad."
Dow closes lower for fourth day in a row,2018-06-15,"The ""Closing Bell"" team discusses the market's reaction to trade tensions with China. With Bertelsen, Aviance Capital Management; CNBC's Mike Santoli; and CNBC Contributor Evan Newmark.
"
Cramer pinpoints the 'best secular trend' in the market: Subscription services,2018-06-15,Jim Cramer tracks how companies like Netflix and Amazon are seizing on a rapidly expanding segment of the economy.
Cramer's lightning round: Medical device stocks tend to win big,2018-06-18,"Jim Cramer rattles off his take on callers' favorite stocks, including a group of securities he tends to recommend."
Cramer's warning on recent tech IPOs: Be careful with their sky-high valuations,2018-06-18,Jim Cramer cautions investors about a group of newly public software stocks that could be prime for a pullback.
"Market in 'earnings void right now,' but it will bounce back, says investor",2018-06-18,"Stocks fell Monday with the Dow's losing streak stretching to five days as trade tensions linger, but investor Doug MacKay says it's only temporary. "
"Cramer's game plan: With tariffs and rising rates raising uncertainty, it's time to be cautious",2018-06-18,Jim Cramer admits that tariffs and interest rates have made investing harder ahead of what looks to be a positive week of earnings reports.
Cramer points to the trillion-dollar question about US-China trade: What about Apple?,2018-06-19,Jim Cramer flags the one wild card in the escalating trade dispute between China and the United States.
"Cramer Remix: Go ahead, China—sell your U.S. Treasurys!",2018-06-19,"Jim Cramer says there are a lot of things that scare him about a U.S.-China trade war, but selling its position in U.S. Treasurys isn’t one of them."
Cramer's lightning round: GE's CEO was dealt 'one of the worst hands that anyone’s ever been given',2018-06-19,"Jim Cramer flies through his take on callers' favorite stocks, including one recently evicted from the Dow Jones industrial average."
Cramer floats idea for 'gloomy' ETF with Wall Street's most downtrodden stocks,2018-06-19,Jim Cramer proposes starting a new exchange-traded fund with the stocks that scare investors most when trade tensions run high.
Cramer: Tesla's stock still has more upside—just use the right chart,2018-06-19,Jim Cramer and technician Carolyn Boroden use stock charts to investigate the recent action in shares of high-profile automaker Tesla.
Economy still strong despite trade war fears: Analysts,2018-06-19,"Despite trade war fears and market declines, the economic backdrop remains strong, analysts say."
CEO of US oil and gas play Carrizo flags an unusual problem for drillers: Water,2018-06-19,Jim Cramer sits down with Carrizo Oil & Gas President and CEO Chip Johnson for an update on key U.S. oil markets.
CEO of country's largest RV maker says company is finding ways to 'counteract' tariff pressures,2018-06-20,Jim Cramer sits down with Thor Industries CEO Bob Martin as shares of his RV maker hover near year-to-date lows.
Cramer's lightning round: The pecking order for my favorite cybersecurity stocks,2018-06-20,Jim Cramer zooms through his take on callers' favorite stocks and lists his top picks in the cybersecurity space.
Cramer Remix: The battle between these stocks proves why tech triumphs,2018-06-20,Jim Cramer breaks down the distinguishing factor between Intuit and H&R Block.
Cramer Remix: Tariff headlines have investors flocking to these stocks,2018-06-20,Jim Cramer explains how the mainstream media is causing buyers to crowd into smaller cap domestic stocks.
Cramer's lightning round: The key level for selling Kraft-Heinz,2018-06-21,"Jim Cramer zips through his take on callers' favorite stocks, including a condiment king approaching a potential peak."
Cramer Remix: It was the hottest group in the market until Red Hat reported,2018-06-21,Jim Cramer breaks down why cloud-based enterprise software stocks are still red-hot despite Red Hat’s disappointing guidance.
Cramer goes out on a limb in support of chipmaker Micron,2018-06-21,Jim Cramer says he's a believer in Micron's future despite abounding skepticism on Wall Street.
US banks are 'among the better values' in the S&P 500: Investor,2018-06-21,"Nate Thooft of Manulife Asset Management says there is a ""high likelihood"" of smaller banks in the U.S. being acquired by some of the bigger players in the space."
"Cramer: CEO change aside, Intel's stock is too cheap at these levels",2018-06-21,Jim Cramer backs the stock of Intel despite Thursday's unexpected leadership change at the chipmaker.
Okta CEO explains why his cybersecurity company has a leg up on big-name tech giants like Microsoft,2018-06-21,"Jim Cramer hears from Okta co-founder, Chairman and CEO Todd McKinnon about his cybersecurity company's prospects."
Williams-Sonoma CEO: Even Amazon sees the benefits of having physical stores,2018-06-21,Jim Cramer sits down with Williams-Sonoma President and CEO Laura Alber to find out how the Pottery Barn parent is faring in the age of Amazon.
Cramer: The market is saying there's no real loser in Disney and Comcast's battle for Fox assets,2018-06-21,Jim Cramer says the spoils would go to the loser and the winner of Disney and Comcast's brewing bidding war over key Twenty-First Century Fox assets.
Cramer: It's hard to believe this is bottom for shares of General Electric,2018-06-21,Jim Cramer explains why even General Electric's exit from the Dow Jones industrial average isn't the end of the industrial's painful turnaround.
"Cramer's game plan: If you can't handle more combative Trump tweets, raise cash",2018-06-22,Jim Cramer looks at the stocks and events in the week ahead as trade tensions loom over the market.
Red Hat CEO on earnings-led stock drop: 'I would encourage investors to look long term',2018-06-22,Jim Cramer hears from Red Hat President and CEO Jim Whitehurst after the software company's stock saw its worst trading day since 2006.
Cramer flags the market's 3 'most worrisome components' ahead of Jul's earnings wave,2018-06-22,"Jim Cramer says a slowing global economy, a strong U.S. dollar and rising raw costs are likely to weigh on next quarter's earnings reports."
Cramer's lightning round: I don't like Snap's ownership structure,2018-06-22,"Jim Cramer shares his take on callers' favorite stocks at lightning speed, including a much debated social media play."
"CEO of US marijuana company MedMen says Oregon, Colorado are 'horrible markets' to be in",2018-06-27,"Jim Cramer sits down with Adam Bierman, the co-founder and CEO of the marijuana dispensary operator whose stores have been dubbed the ""Apple stores of weed."""
Cramer Remix: The best way to play the stress test results,2018-06-27,Jim Cramer breaks down why he’s buying Citigroup shares ahead of the Federal Reserve's stress test results.
"With food allergies on the rise, biotech Aimmune is focusing on raising patients' tolerance",2018-06-28,"Jim Cramer sits down with Stephen
Dilly, the founding executive chairman and former CEO of Aimmune Therapeutics, to discuss the latest in food allergy treatment."
Cramer's lightning round: Don't sell your stake in Shake Shack—it's finally fairly valued,2018-07-05,"Jim Cramer flies through his take on callers' favorite stocks, including a fast-food restaurant operator finally gaining steam."
"Consumer spending may dangerously weaken and hurt stocks, analyst Nick Colas warns",2018-07-05,DataTrek Research’s Nicholas Colas says it can’t get much better for consumers and that bodes badly for stocks.
Cramer Remix: The Netflix of China still needs time to cool off,2018-07-05,Jim Cramer reveals why it may be too soon to value iQiyi’s recent run up.
Cramer's lightning round: Buy Merck on its superior anti-cancer portfolio,2018-07-06,"Jim Cramer rattles off his take on callers' favorite stocks, including a drugmaker that's topping its competition."
